"Plot Title: Zegveld 2"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20143715, SEN S/N: 20143715)","Intensity, Lux (LGR S/N: 20143715, SEN S/N: 20143715)","Coupler Detached (LGR S/N: 20143715)","End Of File (LGR S/N: 20143715)"
316,06/06/18 10:55:39 AM,27.665,3616.7,,
317,06/06/18 10:56:09 AM,27.764,3616.7,,
318,06/06/18 10:56:39 AM,27.862,3616.7,,
319,06/06/18 10:57:09 AM,27.961,3616.7,,
320,06/06/18 10:57:39 AM,28.159,3616.7,,
321,06/06/18 10:58:09 AM,28.258,3444.5,,
322,06/06/18 10:58:39 AM,28.357,3616.7,,
323,06/06/18 10:59:09 AM,28.555,3616.7,,
324,06/06/18 10:59:39 AM,28.655,3616.7,,
325,06/06/18 11:00:09 AM,28.754,3616.7,,
326,06/06/18 11:00:39 AM,28.953,3616.7,,
327,06/06/18 11:01:09 AM,29.053,3616.7,,
328,06/06/18 11:01:39 AM,29.252,3616.7,,
329,06/06/18 11:02:09 AM,29.352,3616.7,,
330,06/06/18 11:02:39 AM,29.452,3616.7,,
331,06/06/18 11:03:09 AM,29.652,3616.7,,
332,06/06/18 11:03:39 AM,29.752,4133.4,,
333,06/06/18 11:04:09 AM,29.853,4822.3,,
334,06/06/18 11:04:39 AM,29.752,3616.7,,
335,06/06/18 11:05:09 AM,29.552,5338.9,,
336,06/06/18 11:05:39 AM,29.552,3788.9,,
337,06/06/18 11:06:09 AM,29.452,3788.9,,
338,06/06/18 11:06:39 AM,29.452,1377.8,,
339,06/06/18 11:07:09 AM,29.352,592.0,,
340,06/06/18 11:07:39 AM,29.252,247.6,,
341,06/06/18 11:08:09 AM,29.152,21.5,,
342,06/06/18 11:08:39 AM,28.953,21.5,,
343,06/06/18 11:09:09 AM,28.754,21.5,,
344,06/06/18 11:09:39 AM,28.655,21.5,,
345,06/06/18 11:10:09 AM,28.456,32.3,,
346,06/06/18 11:10:39 AM,28.357,32.3,,
347,06/06/18 11:11:09 AM,28.258,32.3,,
348,06/06/18 11:11:39 AM,28.060,32.3,,
349,06/06/18 11:12:09 AM,27.961,21.5,,
350,06/06/18 11:12:39 AM,27.961,3788.9,,
351,06/06/18 11:13:09 AM,27.961,3788.9,,
352,06/06/18 11:13:39 AM,28.060,3788.9,,
353,06/06/18 11:14:09 AM,28.159,4822.3,,
354,06/06/18 11:14:39 AM,28.159,4822.3,,
355,06/06/18 11:15:09 AM,28.159,4822.3,,
356,06/06/18 11:15:39 AM,28.159,4822.3,,
357,06/06/18 11:16:09 AM,28.258,4822.3,,
358,06/06/18 11:16:39 AM,28.357,4822.3,,
359,06/06/18 11:17:09 AM,28.456,4822.3,,
360,06/06/18 11:17:39 AM,28.555,4822.3,,
361,06/06/18 11:18:09 AM,28.655,4822.3,,
362,06/06/18 11:18:39 AM,28.853,4822.3,,
363,06/06/18 11:19:09 AM,28.953,4650.0,,
364,06/06/18 11:19:39 AM,28.953,5166.7,,
365,06/06/18 11:20:09 AM,28.754,4650.0,,
366,06/06/18 11:20:39 AM,28.655,3788.9,,
367,06/06/18 11:21:09 AM,28.655,53.8,,
368,06/06/18 11:21:39 AM,28.555,53.8,,
369,06/06/18 11:22:09 AM,28.357,53.8,,
370,06/06/18 11:22:39 AM,28.258,53.8,,
371,06/06/18 11:23:09 AM,28.060,53.8,,
372,06/06/18 11:23:39 AM,27.961,53.8,,
373,06/06/18 11:24:09 AM,27.764,53.8,,
374,06/06/18 11:24:39 AM,27.665,53.8,,
375,06/06/18 11:25:09 AM,27.567,53.8,,
376,06/06/18 11:25:39 AM,27.370,53.8,,
377,06/06/18 11:26:09 AM,27.272,53.8,,
378,06/06/18 11:26:39 AM,27.272,4822.3,,
379,06/06/18 11:27:09 AM,27.272,4822.3,,
380,06/06/18 11:27:39 AM,27.468,4822.3,,
381,06/06/18 11:28:09 AM,27.567,4822.3,,
382,06/06/18 11:28:39 AM,27.764,4305.6,,
383,06/06/18 11:29:09 AM,27.961,3616.7,,
384,06/06/18 11:29:39 AM,27.961,4305.6,,
385,06/06/18 11:30:09 AM,27.862,2583.4,,
386,06/06/18 11:30:39 AM,27.764,5338.9,,
387,06/06/18 11:31:09 AM,27.764,5166.7,,
388,06/06/18 11:31:39 AM,27.764,5338.9,,
389,06/06/18 11:32:09 AM,27.862,5166.7,,
390,06/06/18 11:32:39 AM,27.862,5166.7,,
391,06/06/18 11:33:09 AM,27.961,5166.7,,
392,06/06/18 11:33:39 AM,28.060,5166.7,,
393,06/06/18 11:34:09 AM,28.060,5166.7,,
394,06/06/18 11:34:39 AM,28.159,4822.3,,
395,06/06/18 11:35:09 AM,28.060,4305.6,,
396,06/06/18 11:35:39 AM,27.961,5166.7,,
397,06/06/18 11:36:09 AM,27.862,5166.7,,
398,06/06/18 11:36:39 AM,27.862,5166.7,,
399,06/06/18 11:37:09 AM,27.862,5166.7,,
400,06/06/18 11:37:39 AM,27.862,5166.7,,
401,06/06/18 11:38:09 AM,27.862,5166.7,,
402,06/06/18 11:38:39 AM,27.862,5166.7,,
403,06/06/18 11:39:09 AM,27.961,5166.7,,
404,06/06/18 11:39:39 AM,27.961,5166.7,,
405,06/06/18 11:40:09 AM,28.060,5166.7,,
406,06/06/18 11:40:39 AM,28.159,5511.1,,
407,06/06/18 11:41:09 AM,28.159,5511.1,,
408,06/06/18 11:41:39 AM,28.258,5511.1,,
409,06/06/18 11:42:09 AM,28.357,5166.7,,
410,06/06/18 11:42:39 AM,28.357,4994.5,,
411,06/06/18 11:43:09 AM,28.258,4133.4,,
412,06/06/18 11:43:39 AM,27.961,4994.5,,
413,06/06/18 11:44:09 AM,27.764,1216.3,,
414,06/06/18 11:44:39 AM,27.567,53.8,,
415,06/06/18 11:45:09 AM,27.370,64.6,,
416,06/06/18 11:45:39 AM,27.173,64.6,,
417,06/06/18 11:46:09 AM,26.977,64.6,,
418,06/06/18 11:46:39 AM,26.879,64.6,,
419,06/06/18 11:47:09 AM,26.683,64.6,,
420,06/06/18 11:47:39 AM,26.585,64.6,,
421,06/06/18 11:48:09 AM,26.390,64.6,,
422,06/06/18 11:48:39 AM,26.292,64.6,,
423,06/06/18 11:49:09 AM,26.292,6200.0,,
424,06/06/18 11:49:39 AM,26.292,6544.5,,
425,06/06/18 11:50:09 AM,26.390,6200.0,,
426,06/06/18 11:50:39 AM,26.292,6200.0,,
427,06/06/18 11:51:09 AM,26.292,7577.8,,
428,06/06/18 11:51:39 AM,26.195,6544.5,,
429,06/06/18 11:52:09 AM,26.097,6544.5,,
430,06/06/18 11:52:39 AM,26.097,7233.4,,
431,06/06/18 11:53:09 AM,26.097,6200.0,,
432,06/06/18 11:53:39 AM,26.390,18600.1,,
433,06/06/18 11:54:09 AM,26.488,19289.0,,
